S.No.,Property_Name,Price_in_INR,No_of_Bedroom,Property_type,No_of_Bathroom,Carpet_Area(Sq Ft),Garden,Property Status,Parking,Council_Tax
788,"Parrys Close, Stoke Bishop, Bristol, BS9",84808000,3,Semi-Detached,1,0,Yes,-,Yes,Ask agent
789,"Hill View, Henleaze, Bristol, BS9",84808000,4,Detached,1,0,Yes,"TENURE
Leasehold",Yes,Band: F
790,"John Repton Gardens, BS10 6TH",84808000,4,Detached,4,0,Yes,-,Yes,Ask agent
791,"Dundridge Lane, Bristol",84808000,6,Detached,3,0,Yes,-,Yes,Band: E
792,"The Newlands, Frenchay, Bristol,",84808000,4,Detached,2,1000,Yes,-,Yes,Band: F
793,"Hill Burn, Henleaze, Bristol",84808000,3,Detached,2,0,Yes,-,Yes,Band: E
794,"Park Crescent, Frenchay, Bristol, Gloucestershire, BS16",84808000,4,Bungalow,2,0,Yes,-,Yes,Band: E
795,"House 35 (The Maple) Woodlands, Hospital Road, Barrow Gurney, Bristol, BS48",84807469,4,Detached,3,1000,Yes,-,Yes,Band: TBC
796,"Parsonage Road, Long Ashton",84802699,4,Detached,2,0,Yes,-,Yes,Band: F
797,"Clifton Wood Crescent, Bristol",84277950,3,House,1356,0,Yes,-,Ask agent,Ask agent
798,Florence Park | Westbury Park,84277950,3,Town House,1,0,Yes,-,Ask agent,Band: E
799,"Bibury Crescent, Henleaze",84277950,4,Semi-Detached,2,0,Yes,-,Yes,Ask agent
800,"Stockwood Road, Stockwood, Bristol",32333050,3,Semi-Detached,1,0,Yes,-,Yes,Band: C
801,"The Breaches, Easton-in-Gordano, Bristol, BS20 0LY",84277950,6,Detached,2,0,Yes,-,Garage,Band: G
802,"Well Close, Long Ashton",84277950,4,Detached,2,0,Yes,-,Yes,Band: E
803,"Capricorn Place, Bristol, BS8",84277950,2,Duplex,2,1000,Ask agent,"TENURE
Leasehold",Yes,Band: D
804,Berkeley Road | Westbury Park,83217850,4,Terraced,3,0,Yes,-,Ask agent,Band: D
805,"Parrys Lane, Stoke Bishop, Bristol, BS9",82581790,4,Semi-Detached,2,0,Yes,-,Yes,Band: F
806,"Sefton Park Road, Bristol",82157750,4,House,3,1000,Yes,-,Ask agent,Ask agent
807,"The General Guinea Street, Bristol, Avon, BS1",82157750,3,Flat,2,1000,Ask agent,"TENURE
Leasehold",Yes,Band: D
808,Lansdown Road | Redland,82157750,4,Terraced,1,0,Yes,-,Ask agent,Band: D
809,"Beauchamp Road, Bishopston",82157750,5,End of Terrace,3,0,Yes,-,Yes,Ask agent
810,"Cornwallis Avenue, Clifton, Bristol, BS8",82157750,4,Terraced,2,1000,Yes,-,Yes,Band: E
811,"Milford Street, Southville, BRISTOL, BS3",82157750,4,Terraced,3,0,Yes,-,Ask agent,Band: B
812,Freehold | Mixed Use | £83K Pa,82157750,6,House,3,0,Ask agent,-,Ask agent,Band: A
813,"Tudor Lodge, The Close, BS10 7TF",82157750,4,Detached,3,0,Yes,-,Yes,Ask agent
814,Knoll Hill | Sneyd Park,81097650,3,Semi-Detached,1,0,Yes,-,Yes,Band: E
815,"West Broadway, Bristol, BS9",81097650,3,Semi-Detached,1,0,Yes,-,Yes,Band: D
816,"Abbey Road, Westbury On Trym, Bristol, BS9",81097650,4,Semi-Detached,2,0,Yes,"TENURE
Leasehold",Yes,Band: E
817,"Greenhill Lane, Bristol, BS11",81097650,4,Detached,4,0,Private garden,-,"Garage,",Band: E
818,"Heath Walk, Downend, Bristol, BS16 6EZ",80567600,4,Detached,1,0,Yes,-,Yes,Ask agent
819,"Church Road, Easton-In-Gordano.",79507500,3,Detached Bungalow,2,0,Yes,-,Yes,Ask agent
820,"Manor Road, Abbots Leigh, Bristol, BS8",79507500,4,House,2,1000,Yes,-,Yes,Band: F
821,Normanton Road | Clifton,79507500,3,Town House,2,0,Yes,-,Ask agent,Band: E
822,"Nutgrove Avenue, Victoria Park",79507500,4,Terraced,2,0,Yes,-,Ask agent,Band: D
823,Stonehill Hanham Bristol,79507500,4,Detached,2,0,Yes,-,Yes,Band: F
824,"Passage Road, Bristol, BS10",79507500,5,Detached,4,0,Yes,-,Yes,Band: F
825,"Fox Close, St Annes, Bristol, Bristol City, BS4",22792150,2,Apartment,1,0,Yes,"TENURE
Leasehold",Yes,Band: B
826,"St Georges Hill, Easton in Gordano, Bristol",79507500,5,Bungalow,2,1000,Yes,-,Yes,Band: F
827,"Highworth Road, Bristol, BS4",79507500,5,Detached,3,2000,Yes,-,Yes,Band: C
828,"Sefton Park Road, St Andrews, Bristol",79507500,5,House,3,1000,Yes,-,Ask agent,Band: D
829,"Cranbrook Road, Redland, Bristol",79507500,3,End of Terrace,1,1000,Yes,-,Yes,Ask agent
831,"Beckspool Road, Hambrook, Bristol, Gloucestershire, BS16",79507500,4,Detached,2,0,Yes,-,Yes,Band: F
832,"Fallodon Way, Bristol, BS9",79507500,4,Detached,2,0,Yes,-,Yes,Band: E
833,"Arley Hill, Cotham, Bristol, BS6 5PJ",79507500,5,Terraced,3,0,Yes,-,Yes,Band: E
834,"Ridgehill, Henleaze",79507500,4,Detached,2,0,Yes,-,Yes,Ask agent
835,"Avonmouth Road, Bristol",79507500,8,Block of Apartments,5,0,Ask agent,-,Ask agent,Ask agent
836,"New Cheltenham Road, Kingswood, Bristol, BS15",79507500,3,Bungalow,1,0,Ask agent,-,Ask agent,Band: D
837,"Hotwell Road, Bristol, BS8",79507500,3,Terraced,4,0,Yes,-,Yes,Band: TBC
838,"Kingsdown Parade, Kingsdown",79507500,4,House,2,0,Yes,-,Yes,Band: F
839,"Redwood Drive, Bristol, BS8",79506969,3,Retirement Property,2,1000,Terrace,"TENURE
Leasehold",Allocated,Ask agent
841,"Great Clover Leaze, Bristol, BS16",78977450,4,Detached,3,0,Yes,-,Yes,Band: TBC
842,Cairns Road | Redland,78977450,3,Terraced,2,0,Yes,-,Ask agent,Band: E
843,"Hart Close, Pill",77917350,4,House,2,0,Yes,"TENURE
Share of Freehold",Yes,Ask agent
844,"Bristol Road, Whitchurch Village, BS14",77917350,7,Detached,4,0,Yes,-,Yes,Band: F
845,"Ashgrove Avenue, Bristol, BS8",77917350,4,Semi-Detached,2,0,Yes,-,Garage,Ask agent
846,"Cooper Road, Bristol, BS9",77917350,3,Semi-Detached,1,0,Yes,-,Yes,Band: E
847,"Hanbury Road, Bristol",77917350,5,Maisonette,1,0,Yes,"TENURE
Leasehold",Ask agent,Band: C
848,Ambra Vale East | Cliftonwood,77917350,4,Town House,3,0,Yes,-,Ask agent,Band: E
849,"Hanbury Road, Bristol",77387300,5,Maisonette,1,0,Yes,"TENURE
Leasehold",On street,Band: C
850,"Manor Gardens, Bristol",64666100,4,Semi-Detached,3,0,Yes,-,Ask agent,Band: TBC
852,Sydenham Way Hanham Bristol,76857250,6,Detached,3,0,Yes,-,Yes,Band: E
853,Woolcot Street | Redland,76857250,3,Terraced,2,0,Yes,-,Ask agent,Band: D
854,"Pembroke Road, Clifton, Bristol, BS8",76857250,4,Apartment,2,1000,Yes,"TENURE
Leasehold",Yes,Band: E
855,"Fallodon Way, Bristol, BS9",76857250,4,Detached,1,0,Yes,-,Yes,Band: E
856,Royal Victoria Park,76857250,5,Detached,2,0,Yes,-,Yes,Ask agent
857,"18 Riverwood Road, Frenchay, Bristol, BS16 1NX",76857250,3,Detached,1,0,Yes,-,Yes,Band: F
858,"Upper Cheltenham Place, Montpelier, Bristol",76857250,4,House,2,1000,Yes,-,Ask agent,Ask agent
859,"Pitlochry Close, Filton Park",76857250,6,Detached,3,0,Yes,-,Yes,Band: E
860,"Osborne Road, Southville, Bristol",76857250,4,Semi-Detached,2,0,Yes,-,Ask agent,Band: C
861,"Bushy Park, Totterdown",76857250,4,Semi-Detached,3,0,Yes,-,Yes,Band: D
862,"Wright Way, Stapleton, Bristol, Gloucestershire, BS16",76857250,5,Detached,2,0,Yes,-,Yes,Band: F
863,"Abbey Road, Bristol, BS9",76857250,3,Semi-Detached,2,0,Yes,"TENURE
Leasehold",Ask agent,Band: E
864,"Talbot Road, Knowle, Bristol",76857250,4,Detached,2,0,Yes,-,Yes,Band: E
865,"Grange Park, Frenchay, Bristol, South Gloucestershire, BS16",76857250,4,Bungalow,1,1000,Yes,-,Yes,Band: E
866,"Princess Victoria Street, Clifton, Bristol, BS8",76857250,4,Terraced,3,1000,Ask agent,-,Ask agent,Band: F
867,"Woodside Grove, Bristol",76857250,5,Link Detached House,3,0,Yes,-,Yes,Ask agent
869,"Halsbury Road, Westbury Park, Bristol, BS6",75267100,3,Terraced,1,0,Yes,-,Ask agent,Band: D
871,Brighton Road | Redland,74207000,5,Terraced,2,0,Yes,-,Ask agent,Band: E
872,"Bristol Road, Frenchay, Bristol, Gloucestershire, BS16",74207000,3,Bungalow,2,0,Yes,-,Yes,Band: F
873,"York Road, Montpelier, Bristol",74207000,3,Town House,2,1000,Yes,-,Ask agent,Band: C
874,"Bath Road, Bridgeyate, Bristol, Gloucestershire, BS30",74207000,4,Semi-Detached,3,0,Yes,-,Yes,Band: E
875,"The Stepping Stones, St Annes, Bristol, BS4 4EY",18551750,2,Flat,1,0,Ask agent,"TENURE
Leasehold",Yes,Band: A
876,"Johnson Road, Emersons Green, BRISTOL, BS16",74207000,5,Detached,1,0,Yes,-,Yes,Band: F
877,"Ashley Park, Bristol, Somerset, BS6",74207000,4,Terraced,1,0,Yes,-,Ask agent,Band: D
878,"Blenheim Road, Bristol, BS6",74207000,2,Apartment,2,0,Yes,"TENURE
Leasehold",Yes,Band: D
879,"The Brimbles, Bristol, BS7",74207000,5,Detached,3,0,Yes,-,Yes,Band: TBC
880,"Long Wood Meadows, Bristol, BS16",74207000,4,Detached,2,0,Private garden,-,"Garage,",Band: F
882,Ivywell Road | Sneyd Park,74207000,3,Apartment,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: E
883,"Gloucester Road, Horfield, Bristol",74207000,5,End of Terrace,2,1000,Yes,-,Yes,Ask agent
884,"Downleaze, Stoke Bishop, Bristol, BS9",74207000,3,Flat,3,0,Ask agent,"TENURE
Leasehold",Yes,Band: F
885,Upper Belgrave Rd | Clifton,74207000,4,Character Property,3,0,Yes,-,Yes,Band: G
886,"The Park, Kingswood, Bristol, Gloucestershire, BS15",74206893,6,Semi-Detached,3,0,Yes,-,Yes,Band: E
887,"Church Lane, Whitchurch",74206469,3,Detached Bungalow,3,0,Yes,-,Yes,Band: E
889,"Berkeley Road, Bishopston, Bristol",74201699,4,House,2,1000,Yes,-,Ask agent,Band: D
890,"B.05.06 McArthur's Yard, Gas Ferry Road, Bristol, BS1",73782960,3,Penthouse,2,936000,Yes,"TENURE
Leasehold",Yes,Band: TBC
891,"Sheepwood Road, Bristol, BS10 7BS",73676950,4,Semi-Detached,3,0,Yes,-,Yes,Ask agent
892,"Redwood Drive, Bristol, BS8",73676950,2,Semi-Detached,2,1000,"Back garden,","TENURE
Leasehold",Allocated,Ask agent
893,"French Yard, Bristol, Somerset, BS1",73676950,3,Apartment,2,1000,Yes,"TENURE
Leasehold",Yes,Band: D
894,"Harcourt Hill, Redland",73676950,3,Semi-Detached,1,0,Yes,-,Yes,Ask agent
895,Redland Road | Redland,73676950,4,Apartment,3,0,Yes,"TENURE
Leasehold",Yes,Band: E
896,"Pembroke Road, Clifton, Bristol, BS8",73676950,3,Apartment,2,0,Ask agent,"TENURE
Share of Freehold",Ask agent,Band: C
897,"Derby Road, St Andrews, Bristol",73676950,4,House,3,1000,Yes,-,Ask agent,Ask agent
898,8 Bed Hmo | Family Home | Redland BS6,73676950,8,Semi-Detached,3,0,Yes,-,Yes,Band: F
899,Block Of 8 Flats | Easton,73676950,8,House,8,0,Ask agent,-,Ask agent,Band: A
900,"Chelwood Road, Shirehampton",31802469,3,Semi-Detached,1,818000,Yes,-,Yes,Ask agent
901,"Sates Way, Bristol, BS9",73676950,4,Detached,1,0,Yes,-,Yes,Band: F
902,Sea Mills Lane | Stoke Bishop,73676950,4,Semi-Detached,1,0,Yes,-,Yes,Band: E
903,"Cheriton Place, Westbury-on-Trym, Bristol",73676950,3,House,2,1000,Yes,-,Yes,Ask agent
904,"Propsect Cottage, Clifton Hill, Bristol",73676950,3,House,3,1000,Yes,-,Ask agent,Ask agent
905,"Hanbury Road, Bristol",73676950,5,Maisonette,1,0,Yes,-,Ask agent,Band: C
906,"Hurlingham Road, St Andrew's, Bristol, BS7",73146900,4,Semi-Detached,2,0,Yes,-,Yes,Band: D
907,"Grove Paddock, Pucklechurch, Bristol, BS16",73146900,4,Detached,3,0,Yes,-,Yes,Band: F
908,"Great Clover Leaze, Bristol, BS16",72616850,4,Detached,2,0,Yes,-,Yes,Ask agent
909,"Howard Road, Westbury Park, Bristol, BS6",72616850,4,Terraced,1,0,Yes,-,Ask agent,Band: D
910,"Bloomfield Road, Brislington, Bristol, BS4",72616850,5,Detached,3,0,Yes,-,Ask agent,Band: C
911,"Great Clover Leaze, Bristol, South Gloucestershire, BS16",72616850,4,Detached,3,0,Yes,-,Yes,Band: E
912,"The Quays, Harbourside",71556750,2,Flat,2,0,Yes,"TENURE
Share of Freehold",Yes,Band: E
913,"Albermarle Terrace, Hotwells",71556750,4,Terraced,2,0,Yes,-,Ask agent,Band: D
914,"Westbury- On-Trym, Bristol, BS9",71556750,3,House,2,0,Yes,-,Yes,Band: D
915,Richmond Road | Montpelier,71556750,4,Terraced,2,0,Yes,-,Ask agent,Band: C
916,"The Quays, Cumberland Road, Bristol, BS1",71556750,2,Flat,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: TBC
917,"Roman Way, Bristol, BS9 1SH",71556750,3,Detached,2,0,Yes,-,Yes,Band: F
918,Cotham Lawn Road | Cotham,71556750,4,Apartment,2,0,Yes,"TENURE
Leasehold",Yes,Band: D
919,"North Road, St. Andrews, Bristol, BS6",71556750,3,Terraced,3,0,Yes,-,Ask agent,Band: TBC
920,"Granby Hill, Clifton, Bristol, BS8",71556750,4,Duplex,5,2000,Yes,"TENURE
Leasehold",Yes,Band: E
921,"Manx Road, Horfield, Bristol",71556750,7,Block of Apartments,3,0,Ask agent,-,Ask agent,Ask agent
923,"Wellington Terrace, Clifton, Bristol BS8",71556750,2,Terraced,1,1000,Ask agent,-,Ask agent,Band: D
924,"Lake Road, Westbury on Trym",71556750,4,Semi-Detached,2,0,Yes,-,Yes,Ask agent
925,"Lupin Close, Lyde Green",43994150,4,Semi-Detached,2,1000,Yes,-,Yes,Band: E
926,"Wells Road, Bristol, BS14",71556750,4,Detached,3,1000,"Rear garden,",-,"Garage,",Band: D
927,"Meridian Vale, Clifton",71556750,4,Terraced,1,0,Yes,-,Ask agent,Band: E
928,"Charles Wesley Court, BRISTOL, Avon, BS5",71556750,4,Detached,2,0,Yes,-,Yes,Band: TBC
929,"Tyler Close, Hanham, BRISTOL, BS15",71556750,4,Detached,2,0,Yes,-,Yes,Band: F
930,"Raglan Road, Bishopston, Bristol",71556750,3,Terraced,3,1000,Yes,"TENURE
Leasehold",Ask agent,Band: C
931,Gorse Lane | Clifton,71556750,4,Terraced,3,0,Yes,"TENURE
Leasehold",Yes,Band: E
932,"Lower Cheltenham Place, Montpelier, Bristol",71556750,6,House,4,0,Yes,-,Ask agent,Ask agent
933,"Tunbridge Way, Emersons Green, Bristol, BS16 7EX",71021399,4,House,3,0,Yes,-,Yes,Band: F
934,"Beaconlea, Bristol",70496650,4,Detached,2,0,Yes,-,Yes,Band: D
935,"Eastfield Road, Westbury-on-trym, Bristol",70496650,4,End of Terrace,2,0,Yes,-,Yes,Ask agent
936,"Conham Hill, Hanham",69966600,4,Semi-Detached,2,0,Yes,-,Yes,Band: B
937,"Redcatch Road, Knowle, Bristol",69966600,4,Terraced,3,0,Yes,-,Yes,Band: C
938,"Chardstock Avenue, Bristol, BS9",69966600,4,Detached,1,0,Yes,-,Yes,Band: E
939,"C.01.06 McArthur's Yard, Gas Ferry Road, Bristol, BS1",69648570,3,Duplex,2,1000,Yes,"TENURE
Leasehold",Yes,Band: TBC
940,"Newcombe Drive, Bristol, BS9",69436550,3,Semi-Detached,1,0,Yes,"TENURE
Leasehold",Yes,Band: E
941,"The Ridgeway, Westbury-on-Trym, Bristol, BS10",68906500,3,Detached,2,0,Yes,-,Yes,Band: F
942,"Kingsfield Lane, BRISTOL, BS15",68906500,4,Detached,4,0,Yes,-,Yes,Band: D
943,"Theynes Croft, Long Ashton, Bristol, North Somerset, BS41",68906500,5,Detached,2,0,Yes,-,Yes,Band: G
944,"Crowndale Road, Bristol",68906500,4,Terraced,1,2000,Yes,-,Ask agent,Band: E
945,"Baileys Mead Road, Bristol, BS16",68906500,4,Detached,2,1000,Private garden,-,"Garage,",Band: E
946,"Church Lane, Clifton, Bristol, BS8",68906500,2,Terraced,1,0,Yes,-,Ask agent,Band: D
947,"Packers Way, Greenbank, Bristol, BS5",68906500,3,Terraced,2,0,Ask agent,-,Yes,Band: TBC
948,Somerset Street | Kingsdown,68906500,4,Town House,2,0,Yes,-,Ask agent,Band: E
949,"Redland Road, Redland, Bristol, BS6",68906500,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: D
950,"The Grange, Saville Road, Bristol, BS9 1JA",9540900,1,Apartment,1,0,Yes,"TENURE
Leasehold",Yes,Band: B
951,"Coronation Road, Southville",68906500,4,End of Terrace,2,0,Ask agent,-,Ask agent,Band: D
952,"Beaconsfield Road, Knowle, Bristol",68906500,3,Terraced,1,0,Yes,-,Ask agent,Band: C
953,"Cotswold Road, Bedminster, Bristol",68906500,4,Terraced,2,1000,Yes,-,Ask agent,Band: B
954,"The Little House, The Ridgeway, Westbury-on-Trym, Bristol",68906500,3,Detached,1,2000,Private garden,-,Off street,Band: F
955,"Holmesdale Road, Bristol, BS3",68906500,6,End of Terrace,3,0,Ask agent,-,Ask agent,Band: TBC
956,"Ash Road, Bristol, BS7",68906500,4,Terraced,2,0,Yes,"TENURE
Leasehold",Ask agent,Band: C
957,"Whitethorn Vale, Brentry, BS10",68906500,4,Detached,4,1000,Yes,-,Yes,Band: D
958,"Cromwell Road, Bristol, BS6",68906500,6,Semi-Detached,3,0,Ask agent,-,Ask agent,Band: TBC
959,"Falcondale Road, Westbury On Trym",68906500,3,Semi-Detached,1,0,Yes,-,Yes,Ask agent
960,Coldharbour Road | Westbury Park,68906500,3,End of Terrace,1,1000,Yes,-,Ask agent,Band: D
961,"The Ridgeway, Westbury on Trym, Bristol",68906500,3,Detached,2,0,Yes,-,Yes,Ask agent
962,"Passage Road, Bristol",68906500,5,Detached,2,0,Yes,-,Yes,Band: E
963,"Francis Road, Bedminster, BRISTOL, BS3",68906500,5,Semi-Detached,3,0,Yes,-,Yes,Band: B
964,"Old Gloucester Road, Frenchay, Bristol, Gloucestershire, BS16",68906500,4,Semi-Detached,2,0,Yes,-,Yes,Band: E
965,"Arley Park, Cotham",68906500,3,Terraced,1,0,Yes,-,Ask agent,Band: D
966,"Wells Road, Knowle, Bristol",68906500,4,Semi-Detached,2,1000,Yes,-,Ask agent,Ask agent
967,"22 Redwood Drive, Bristol, BS8",68906500,2,Ground Flat,2,0,Private garden,"TENURE
Leasehold",Off street,Band: E
968,"Cliff Court Drive, Frenchay",68906500,4,Detached,1,0,Yes,-,Yes,Ask agent
969,"Herons Lea, Hambrook, Bristol, Somerset, BS16",68906500,4,Detached,2,0,Yes,-,Yes,Band: TBC
970,Dugar Walk | Redland,68906500,3,Terraced,1,0,Yes,-,Ask agent,Band: D
971,"North Road, St. Andrews",68906500,3,Semi-Detached,1,0,Yes,-,Ask agent,Band: C
972,Cotham Road | Cotham,68906500,3,Apartment,2,0,Yes,"TENURE
Leasehold",Yes,Band: A
973,"Water Lane, Brislington, Bristol.",68906500,7,Semi-Detached,3,2000,Yes,-,"Garage,",Ask agent
974,"St. Andrews Road, Montpelier, Bristol, BS6",68906500,4,End of Terrace,2,0,Yes,-,Ask agent,Band: TBC
975,"Garden Flat, Cotham Brow, Cotham, Bristol",42404000,2,Flat,1,0,Yes,"TENURE
Leasehold",Yes,Ask agent
976,"15 and 16 Sunnyside, Stoke Bishop, Bristol, BS9",68376450,6,Semi-Detached,1,0,Yes,-,Yes,Band: E
977,"Redwood Drive, Bristol, BS8",68376450,2,Ground Flat,2,1000,"Private garden,","TENURE
Leasehold",Allocated,Ask agent
978,"Manor Gardens, Bristol",67846400,4,Semi-Detached,3,0,Yes,-,Ask agent,Band: TBC
979,"Malmains Drive, Frenchay",67846400,4,Semi-Detached,4,0,Yes,-,Yes,Ask agent
980,"Long Ashton Road, Long Ashton",67846400,3,End of Terrace,2,0,Yes,-,On street,Band: C
981,"Royal Albert Road, Bristol, BS6",67316350,2,Terraced,1,0,Yes,-,Ask agent,Band: D
982,Henleaze Road | Henleaze,67316350,3,Flat,2,1000,Yes,"TENURE
Leasehold",Ask agent,Band: C
983,"Russell Grove, Westbury Park",67316350,3,Semi-Detached Bungalow,2,0,Yes,-,Ask agent,Band: D
984,"Shadwell Road, Bishopston",67316350,3,Terraced,1,0,Yes,-,Ask agent,Band: C
985,"Hampstead Road, BRISTOL, BS4",67316350,4,Semi-Detached,2,0,Yes,-,Yes,Band: C
987,"Marlborough Hill Place, Bristol, BS2",66786300,3,Terraced,2,0,Yes,-,Yes,Band: E
988,"Church Farm Road, Emersons Green, Bristol",66256250,5,Detached,2,1000,Yes,-,Yes,Ask agent
989,"Sugar House, French Yard, BRISTOL, BS1",66256250,3,Apartment,2,0,Yes,"TENURE
Leasehold",Yes,Band: E
990,"Bury Hill View, Downend, Bristol, BS16 6PA",66256250,4,Detached,2,0,Yes,-,Yes,Band: F
991,"Lintham Drive, Bristol",66256250,4,End of Terrace,3,0,Front garden,-,Yes,Band: C
992,"Tree Rise, Hanham",66256250,4,Detached,4,0,Yes,-,Yes,Ask agent
993,"School Buildings, 5 Old School Close, Bristol, BS6",66256250,2,Flat,2,970000,Ask agent,"TENURE
Leasehold",Yes,Band: E
994,"Long Wood Meadows, Bristol",66256250,4,Detached,2,0,Back garden,-,Off street,Band: E
995,"Emet Lane, Emersons Green, Bristol, BS16 7BX",66256250,5,Detached,3,0,Yes,-,Yes,Band: F
996,"Dorset Road, Westbury-on-Trym, Bristol, BS9",66256250,3,Terraced,1,0,Yes,-,Ask agent,Band: D
997,"Westbury Court Road, Bristol, Somerset, BS9",66256250,3,Semi-Detached,1,0,Yes,"TENURE
Leasehold",Yes,Band: E
998,"Dowry Square, Hotwells, Bristol",66256250,3,Maisonette,3,0,Yes,-,Yes,Ask agent
999,"Blackhorse Place, Mangotsfield, Bristol",66256250,3,Detached,2,0,"Back garden,",-,Yes,Band: E
1000,"Hamilton Court, Montague Street, Bristol",23852250,1,Flat,1,0,Ask agent,-,Ask agent,Ask agent
1001,"Tanner Court, Barrs Court, Bristol, Gloucestershire, BS30",66256250,5,Semi-Detached,3,0,Yes,-,Yes,Band: E
1002,"Riverwood Road, Bristol, Gloucestershire, BS16",66256250,3,Detached,2,0,Yes,-,Yes,Band: F
1003,Hill House Road Staple Hill,66256250,4,Detached,2,0,Yes,-,Yes,Band: F
1004,"Greenhill Lane, Bristol, Somerset, BS11",66256250,4,Semi-Detached,1,0,Ask agent,-,Yes,Band: C
1005,"Wildcroft Road, Henleaze, Bristol, BS9",66256250,3,Semi-Detached,1,0,Yes,-,Yes,Band: D
1007,"Lake Road, Bristol, BS10",65726200,4,Semi-Detached,2,0,Yes,-,Yes,Band: B
1008,"Kersteman Road, Bristol, BS6 7BX",65726200,3,Semi-Detached,1,1000,Yes,-,Yes,Ask agent
1010,Kensington Place | Clifton Village,65726200,2,Apartment,1,0,Yes,"TENURE
Leasehold",Yes,Band: D
1011,"Jacob Street, Bristol, BS2",65196150,4,Terraced,3,0,Yes,-,Yes,Band: TBC
1012,"Jacob Street, Bristol, BS2",65196150,4,Terraced,3,0,Yes,-,Yes,Band: TBC
1013,"Jacob Street, Bristol, BS2",65196150,4,Terraced,3,0,Yes,-,Yes,Band: TBC
1014,"Horse Shoe Drive, Bristol, BS9",65196150,3,Semi-Detached,1,0,Yes,-,Yes,Band: E
1015,"Henry Shute Road, Stoke Gifford",65196150,4,Detached,2,0,Yes,-,Yes,Band: E
1017,"Manor Gardens, Bristol",64666100,4,Semi-Detached,3,0,Yes,-,Ask agent,Band: TBC
1019,"Glenwood Road, Bristol, BS10",63606000,3,Semi-Detached,1,0,Yes,-,Yes,Band: E
1020,"Birdwell Lane, Long Ashton, Bristol, North Somerset, BS41",63606000,3,Detached,1,0,Yes,-,Yes,Band: D
1021,"Viola Way, Emersons Green, Bristol",63606000,4,Detached,2,0,Back garden,-,Yes,Band: D
1022,"Quarry Way, Emersons Green, Bristol, BS16",63606000,4,Detached,2,0,Yes,-,Yes,Band: F
1023,"Eastfield Road, Westbury-On-Trym",63606000,2,Detached,2,0,Yes,-,Yes,Band: E
1024,"Shipley Road, Bristol, BS9",63606000,3,Semi-Detached,1,0,Yes,-,Yes,Band: D
1025,"Windsor Road, St Andrews, Bristol",132512500,4,Semi-Detached,2,1000,Yes,"TENURE
Leasehold",Driveway,Band: E
1026,"Harolds Way, Hanham, Bristol",63606000,6,Detached,3,0,Yes,-,Yes,Band: E
1027,"Apsley Road, Bristol, BS8",63606000,3,Apartment,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: D
1028,"Eldon Terrace, Windmill Hill, BRISTOL, BS3",63606000,4,End of Terrace,2,1000,Yes,-,Ask agent,Band: C
1029,Bathurst Parade | Harbourside,63606000,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: E
1030,"Avonleaze, Sea Mills, Bristol",63606000,4,Semi-Detached,2,0,Yes,-,Yes,Band: C
1031,"Jacob Street, Bristol, BS2",63606000,3,Terraced,3,0,Ask agent,-,Yes,Band: TBC
1032,"Victoria Terrace, Clifton, Bristol, BS8",63606000,4,End of Terrace,1,0,Yes,-,Ask agent,Band: B
1033,"Cleeve Park Road, Downend, Bristol, BS16 6DW",63606000,4,Semi-Detached Bungalow,2,0,Yes,-,Yes,Band: C
1034,"Embassy Walk, Whitehall, Bristol BS5 7EA",63606000,4,Semi-Detached,2,0,Yes,-,Yes,Band: B
